person_uri,labelPer,birthYear,gender,labelPlace,geometry,REGION,NAME_ENGL,coded_country,periodsActivity,pk_person_features,occupation_main,occupation_sec1,coded_employer
http://www.wikidata.org/entity/Q3351411,Olivier Todd,1929,male,Neuilly-sur-Seine,POINT (2.2675 48.887222),Western Europe,France,France,1971-1995,644,war-correspondent,journalism_core,press
http://www.wikidata.org/entity/Q16015140,Paul Fregosi,1922,male,Marseille,POINT (5.376389 43.296667),Western Europe,France,France,1946-1970,368,war-correspondent,journalism_core,press / corporate and general
http://www.wikidata.org/entity/Q937835,Michael Herr,1940,male,Lexington,POINT (-84.458611 38.049722),Northern America,United States,United States Can.,1971-1995,1132,war-correspondent,journalism_core,press
http://www.wikidata.org/entity/Q920637,Morley Safer,1931,male,Toronto,POINT (-79.386667 43.670278),Northern America,Canada,United States Can.,1971-1995,1122,war-correspondent,journalism_core,press / corporate and general
http://www.wikidata.org/entity/Q5214843,Dana Stone,1939,male,Pomfret,POINT (-72.520278 43.6975),Northern America,United States,United States Can.,1971-1995,839,war-photographer,visual_media,corporate and general
http://www.wikidata.org/entity/Q5280188,Dirck Halstead,1936,male,Huntington,POINT (-73.426111 40.868056),Northern America,United States,United States Can.,1971-1995,848,war-photographer,visual_media,press / corporate and general
http://www.wikidata.org/entity/Q2071770,Perry Kretz,1933,male,Cologne,POINT (6.957778 50.942222),Western Europe,Germany,Germany,1971-1995,464,war-correspondent,journalism_core,press
http://www.wikidata.org/entity/Q7969034,Ward Just,1935,male,Michigan City,POINT (-86.89306 41.71278),Northern America,United States,United States Can.,1971-1995,1076,war-correspondent,journalism_core,press
http://www.wikidata.org/entity/Q7274096,R. W. Apple Jr.,1934,male,Akron,POINT (-81.517778 41.073056),Northern America,United States,United States Can.,1971-1995,1016,war-correspondent,journalism_core,corporate and general
http://www.wikidata.org/entity/Q99390539,H. D. S. Greenway,1935,male,Boston,POINT (-71.057778 42.360278),Northern America,United States,United States Can.,1971-1995,1168,war-correspondent,journalism_core,press / corporate and general
http://www.wikidata.org/entity/Q2401525,Yves Courrière,1935,male,12th arrondissement of Paris,POINT (2.388183 48.840808),Western Europe,France,France,1971-1995,516,war-correspondent,journalism_core,press
http://www.wikidata.org/entity/Q76935,Horst Faas,1933,male,Berlin,POINT (13.383333 52.516667),Western Europe,Germany,Germany,1971-1995,1053,war-photographer,writing_intellectual,corporate and general
http://www.wikidata.org/entity/Q496027,Eddie Adams,1933,male,New Kensington,POINT (-79.758333 40.568333),Northern America,United States,United States Can.,1971-1995,808,war-photographer,visual_media,corporate and general
http://www.wikidata.org/entity/Q3303778,Brian Barron,1940,male,Bristol,POINT (-2.5975 51.453611),Northern Europe,United Kingdom,United Kingdom,1971-1995,636,war-correspondent,journalism_core,other
http://www.wikidata.org/entity/Q5531414,Gene Roberts,1932,male,Pikeville,POINT (-77.986111 35.498889),Northern America,United States,United States Can.,1971-1995,876,war-correspondent,journalism_core,other
http://www.wikidata.org/entity/Q3170750,Jean Bertolino,1936,male,Marseille,POINT (5.376389 43.296667),Western Europe,France,France,1971-1995,612,war-correspondent,journalism_core,press / television and radio
http://www.wikidata.org/entity/Q17626890,Huynh Thanh My,1938,male,Long An,POINT (106.166667 10.666667),Southeastern Asia,Viet nam,Asia-Pacific,1971-1995,412,war-photographer,visual_media,corporate and general
http://www.wikidata.org/entity/Q4104509,Aleksey Vasilyev,1939,male,Saint Petersburg,POINT (30.316667 59.95),European Russia,Russian Federation,Russian Fed. Belarus,1971-1995,698,war-correspondent,journalism_core,other
http://www.wikidata.org/entity/Q3286755,Manuel Bidermanas,1938,male,9th arrondissement of Paris,POINT (2.336967 48.878281),Western Europe,France,France,1971-1995,629,war-photographer,visual_media,press
http://www.wikidata.org/entity/Q50060717,Shyam Bhatia,1950,male,New Delhi,POINT (77.208889 28.613889),Southern Asia,India,Asia-Pacific,1971-1995,816,war-correspondent,journalism_core,press
http://www.wikidata.org/entity/Q11749538,Krzysztof Mroziewicz,1945,male,Słupica,POINT (21.39029 51.41172),Eastern Europe,Poland,Poland,1971-1995,166,war-correspondent,journalism_core,other
http://www.wikidata.org/entity/Q139674805,Karel Bagijn,1948,male,Zeist,POINT (5.233333 52.083333),Western Europe,Netherlands,Western Europe,1971-1995,330,war-photographer,visual_media,press
http://www.wikidata.org/entity/Q15071250,Viktor Litovkin,1945,male,Troianiv,POINT (28.523055 50.113333),Eastern Europe,Ukraine,Ukraine,1971-1995,340,war-correspondent,journalism_core,press / corporate and general
http://www.wikidata.org/entity/Q16663578,Martine Laroche-Joubert,1947,female,Tartas,POINT (-0.808611 43.8325),Western Europe,France,France,1971-1995,386,war-correspondent,journalism_core,press / television and radio
http://www.wikidata.org/entity/Q310900,Robert Fisk,1946,male,Maidstone,POINT (0.529444 51.271667),Northern Europe,United Kingdom,United Kingdom,1971-1995,592,war-correspondent,journalism_core,press
http://www.wikidata.org/entity/Q3134441,Hervé Chabalier,1945,male,Langogne,POINT (3.855 44.726667),Western Europe,France,France,1971-1995,599,war-correspondent,journalism_core,other
http://www.wikidata.org/entity/Q327426,Sean Flynn,1941,male,Los Angeles,POINT (-118.24368 34.05223),Northern America,United States,United States Can.,1971-1995,627,war-photographer,visual_media,press
http://www.wikidata.org/entity/Q3299130,Miroslav Lazanski,1950,male,Karlovac,POINT (15.555833 45.493056),Southern Europe,Croatia,Central/Eastern Europe,1971-1995,634,war-correspondent,journalism_core,press / corporate and general
http://www.wikidata.org/entity/Q3980231,Taizo Ichinose,1947,male,Takeo,POINT (130.021472 33.19475),Eastern Asia,Japan,Asia-Pacific,1971-1995,691,war-photographer,visual_media,corporate and general
http://www.wikidata.org/entity/Q766913,Ed Bradley,1941,male,Philadelphia,POINT (-75.163611 39.952778),Northern America,United States,United States Can.,1971-1995,1051,war-correspondent,journalism_core,other
http://www.wikidata.org/entity/Q11904754,Albert Abril,1947,male,Barcelona,POINT (2.176944 41.3825),Southern Europe,Spain,Spain,1971-1995,174,war-correspondent,journalism_core,press / academic and education
http://www.wikidata.org/entity/Q3675375,Cengiz Çandar,1948,male,Ankara,POINT (32.83869 39.93576),Western Asia,Türkiye,Middle East,1971-1995,674,war-correspondent,journalism_core,press
http://www.wikidata.org/entity/Q125526373,Alan Hirons,1947,male,Melbourne,POINT (144.963056 -37.814167),Australia/New Zealand,Australia,Asia-Pacific,1971-1995,231,war-photographer,other,corporate and general
http://www.wikidata.org/entity/Q1064279,Charles Enderlin,1945,male,Paris,POINT (2.352222 48.856667),Western Europe,France,France,1971-1995,22,war-correspondent,journalism_core,other
http://www.wikidata.org/entity/Q12411282,Roni Daniel,1947,male,Baghdad,POINT (44.366111 33.315278),Western Asia,Iraq,Middle East,1971-1995,212,war-correspondent,journalism_core,corporate and general
http://www.wikidata.org/entity/Q4718682,Alexander D. Shimkin,1944,male,"Washington, D.C.",POINT (-77.036667 38.895),Northern America,United States,United States Can.,1971-1995,778,war-correspondent,journalism_core,press
http://www.wikidata.org/entity/Q115408489,Dariush Goodarzikia,1947,male,Enaj,POINT (49.317778 34.230278),Southern Asia,Iran,Middle East,1971-1995,146,war-photographer,visual_media,corporate and general
http://www.wikidata.org/entity/Q2830047,Alain Louyot,1948,male,Nancy,POINT (6.183611 48.692778),Western Europe,France,France,1971-1995,557,war-correspondent,journalism_core,press
